isp, cnt
Adobe Inc.,6
Akamai International B.V.,41
Akamai Technologies  Inc.,604
Amazon Technologies Inc.,212
Amazon.com  Inc.,337
Apple Inc.,1152
Automattic,13
CAU,10
Cloudflare  Inc.,1328
DREAMX,61
DoubleVerify,369
Dreamline CO.,276
Facebook  Inc.,18
Fastly,71
GSNeotek,704
Google Asia Pacific Pte. Ltd.,52
Google LLC,14282
HYUNDAI HCN Dongjak Cable Tv System Co.Ltd,378
Highwinds Network Group,82
Highwinds Network Group  Inc.,410
Integral Ad Science  Inc.,97
KORNET,13679
Kakao Corp,6264
Korea Telecom,3669
LinkedIn Corporation,10
MCI Communications Services  Inc. dba Verizon Business,10
Microsoft Corporation,115
NBP,5503
NULL,3666
TubeMogul  Inc.,29
Turn Inc.,61
Twitter Inc.,41
purplestones,280
